data,titulo,ementa,autoria,link
2025-06-27 09:48:54,ATO N.º 05/2025,DISPÕE SOBRE O HORÁRIO ADMINISTRATIVO DA CÂMARA DE VEREADORES DE PINDAMONHANGABA.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136822#pesquisa
2025-05-07 16:30:46,ATO N.º 04/2025,DESIGNA A REPRESENTANTE DA PROCURADORIA DA MULHER NO ÂMBITO DA CÂMARA DE VEREADORES DE PINDAMONHANGABA.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135078#pesquisa
2025-03-12 08:44:44,ATO N.º 03/2025,DISPÕE SOBRE A COMPOSIÇÃO DA COMISSÃO DE ASSUNTOS RELEVANTES EM APOIO À REATIVAÇÃO DA ESTRADA DE FERRO CAMPOS DO JORDÃO.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132867#pesquisa
2025-01-20 13:59:12,ATO N.º 02/2025,DISPÕE SOBRE O CALENDÁRIO DE FERIADOS E PONTOS FACULTATIVOS DO ANO DE 2025.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130438#pesquisa
2025-01-14 14:18:24,ATO N.º 01/2025,"DISPÕE SOBRE A CONSTITUIÇÃO DE COMISSÕES PERMANENTES, BRIGADA DE INCÊNDIO E CONTROLE INTERNO.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130289#pesquisa
2024-12-10 11:45:14,ATO N.º 12/2024,DISPÕE SOBRE A SUSPENSÃO DE EXPEDIENTE NO ÂMBITO DA CÂMARA DE VEREADORES DE PINDAMONHANGABA NOS DIAS COMPREENDIDOS ENTRE OS FERIADOS DE NATAL E ANO NOVO.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129761#pesquisa
2024-10-22 11:08:34,ATO N.º 11/2024,"ESTABELECE PRAZOS PARA EXAME DO PROJETO DE LEI QUE ""ESTIMA A RECEITA E FIXA A DESPESA DO MUNICÍPIO PARA O EXERCÍCIO DE 2025"".",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127978#pesquisa
2024-08-12 11:00:01,ATO N.º 10/2024,Dispõe sobre a Propaganda Eleitoral nas dependências da Câmara de Vereadores de Pindamonhangaba.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125887#pesquisa
2024-08-07 11:48:26,ATO N.º 09/2024,Constitui uma Comissão Processante para apurar a ocorrência de prática de infração político-administrativa cometida pelo Vereador Carlos Moura - Magrão.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125800#pesquisa
2024-06-10 11:00:31,ATO N.º 08/2024,"Constitui o Conselho de Ética para apuração de representações contra o Vereador Carlos Moura - Magrão, por supostamente ter violado o art. 4°, incisos III e IV e art. 8°, inciso I, letra ""b"".",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122985#pesquisa
2024-06-05 09:03:10,ATO N.º 07/2024,"Constitui uma Comissão Especial de Inquérito para apurar denúncia acerca de ""suposta coação e recebimento ilícito de vantagem financeira recebida pelo Vereador Carlos Moura - Magrão do Diretor Administrativo do Pronto Socorro - Sr. Eurico de Aguiar e Silva"".",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122827#pesquisa
2024-05-23 15:32:18,ATO N.º 06/2024,"Altera o Ato n° 01/2024, que ""Dispõe sobre a constituição de Comissões Permanentes, Brigada de Incêndio e Controle Interno"".",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122478#pesquisa
2024-05-15 16:44:37,ATO N.º 05/2024,Dispõe sobre a transferência de bens patrimoniais da Câmara de Vereadores de Pindamonhangaba para a Prefeitura Municipal e a baixa nos sistemas.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122144#pesquisa
2024-04-23 11:27:14,ATO N.º 04/2024,"Altera o Ato n° 02/2024, que ""Dispõe sobre o calendário de feriados e pontos facultativos do ano de 2024"".",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121206#pesquisa
2024-04-22 14:52:11,ATO N.º 03/2024,"Estabelece prazos para exame de Projeto de Lei que ""Dispõe sobre as Diretrizes Orçamentárias para o exercício de 2025 e dá outras providências.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121135#pesquisa
2024-01-15 16:47:24,ATO N.º 02/2024,Dispõe sobre o calendário de feriados e pontos facultativos do ano de 2024.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/1246#pesquisa
2024-01-03 09:44:29,ATO N.º 01/2024,"Dispõe sobre a constituição de Comissões Permanentes, Brigada de Incêndio e Controle Interno.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/1#pesquisa
