data,titulo,ementa,autoria,link
2025-07-16 14:19:39,CERTIDÃO N° 6/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137554#pesquisa
2025-07-08 13:51:51,DECLARAÇÃO N° 5/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137316#pesquisa
2025-07-04 16:11:47,CERTIDÃO N° 4/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137168#pesquisa
2025-07-04 10:44:58,CERTIDÃO N° 3/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137150#pesquisa
2025-02-26 17:01:51,CERTIDÃO N° 2/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132321#pesquisa
2025-01-14 09:58:55,CERTIDÃO N° 1/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130275#pesquisa
2024-09-19 15:58:53,CERTIDÃO N° 7/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127012#pesquisa
2024-09-06 11:35:01,CERTIDÃO N° 6/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126614#pesquisa
2024-09-06 09:38:03,CERTIDÃO N° 5/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126609#pesquisa
2024-06-18 11:13:05,CERTIDÃO N° 4/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/123503#pesquisa
2024-02-29 11:42:57,CERTIDÃO N° 3/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119115#pesquisa
