data,titulo,ementa,autoria,link
2025-07-02 10:27:11,CERTIDÃO N° 58/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137023#pesquisa
2025-06-25 11:48:43,CERTIDÃO N° 57/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136783#pesquisa
2025-06-18 09:15:18,CERTIDÃO N° 56/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136577#pesquisa
2025-06-11 09:55:44,CERTIDÃO N° 55/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136309#pesquisa
2025-06-11 09:50:57,CERTIDÃO N° 54/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136308#pesquisa
2025-05-27 13:49:50,CERTIDÃO N° 53/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135765#pesquisa
2025-05-21 10:48:12,CERTIDÃO N° 52/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135559#pesquisa
2025-05-21 10:41:04,CERTIDÃO N° 51/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135558#pesquisa
2025-05-21 10:35:00,CERTIDÃO N° 50/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135557#pesquisa
2025-05-09 17:02:07,CERTIDÃO N° 49/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135212#pesquisa
2025-05-09 16:57:55,CERTIDÃO N° 48/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135211#pesquisa
2025-05-09 16:56:08,CERTIDÃO N° 47/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135210#pesquisa
2025-05-08 17:16:50,CERTIDÃO N° 46/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135161#pesquisa
2025-05-08 11:48:12,CERTIDÃO N° 45/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135104#pesquisa
2025-05-07 17:04:37,CERTIDÃO N° 44/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135092#pesquisa
2025-05-06 13:24:43,CERTIDÃO N° 43/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135007#pesquisa
2025-05-06 11:58:01,CERTIDÃO N° 42/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135003#pesquisa
2025-05-06 11:57:08,CERTIDÃO N° 41/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135002#pesquisa
2025-04-15 10:02:35,CERTIDÃO N° 40/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134239#pesquisa
2025-04-15 09:51:42,CERTIDÃO N° 39/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134238#pesquisa
2025-04-02 15:44:03,CERTIDÃO N° 38/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133821#pesquisa
2025-04-02 10:47:15,CERTIDÃO N° 37/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133793#pesquisa
2025-04-02 10:38:58,CERTIDÃO N° 36/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133790#pesquisa
2025-04-02 10:24:17,CERTIDÃO N° 35/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133786#pesquisa
2025-04-02 10:18:43,CERTIDÃO N° 34/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133785#pesquisa
2025-04-02 10:10:24,CERTIDÃO N° 33/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133782#pesquisa
2025-03-28 13:55:08,CERTIDÃO N° 32/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133580#pesquisa
2025-03-12 13:41:58,CERTIDÃO N° 31/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132884#pesquisa
2025-03-12 13:39:10,CERTIDÃO N° 30/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132883#pesquisa
2025-03-12 11:56:37,CERTIDÃO N° 29/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132882#pesquisa
2025-03-12 11:53:14,CERTIDÃO N° 28/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132881#pesquisa
2025-03-07 10:19:38,CERTIDÃO N° 27/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132638#pesquisa
2025-02-28 15:03:29,CERTIDÃO N° 26/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132475#pesquisa
2025-02-19 14:42:40,CERTIDÃO N° 24/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131936#pesquisa
2025-02-19 14:32:28,CERTIDÃO N° 23/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131930#pesquisa
2025-02-19 13:58:29,CERTIDÃO N° 22/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131919#pesquisa
2025-02-19 13:27:13,CERTIDÃO N° 21/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131917#pesquisa
2025-02-12 11:37:27,CERTIDÃO N° 20/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131428#pesquisa
2025-02-12 11:32:45,CERTIDÃO N° 19/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131427#pesquisa
2025-01-29 14:21:51,CERTIDÃO N° 18/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130777#pesquisa
2025-01-24 15:11:31,CERTIDÃO N° 17/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130607#pesquisa
2025-01-24 15:03:50,CERTIDÃO N° 16/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130606#pesquisa
2025-01-24 14:58:21,CERTIDÃO N° 15/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130605#pesquisa
2025-01-24 14:46:46,CERTIDÃO N° 14/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130604#pesquisa
2025-01-24 14:38:48,CERTIDÃO N° 13/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130603#pesquisa
2025-01-24 14:29:48,CERTIDÃO N° 12/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130602#pesquisa
2025-01-24 11:55:05,CERTIDÃO N° 11/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130601#pesquisa
2025-01-24 11:51:29,CERTIDÃO N° 10/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130600#pesquisa
2025-01-24 11:43:23,CERTIDÃO N° 9/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130598#pesquisa
2025-01-24 11:01:15,CERTIDÃO N° 8/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130593#pesquisa
2025-01-24 10:56:59,CERTIDÃO N° 7/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130590#pesquisa
2025-01-24 10:52:35,CERTIDÃO N° 6/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130589#pesquisa
2025-01-24 10:46:58,CERTIDÃO N° 5/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130587#pesquisa
2025-01-24 10:43:21,CERTIDÃO N° 4/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130586#pesquisa
2025-01-24 10:37:54,CERTIDÃO N° 3/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130584#pesquisa
2025-01-14 16:42:47,Certidão N.º 2/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130306#pesquisa
