data,titulo,ementa,autoria,link
2025-02-12 09:27:11,EMENDA À LEI ORGÂNICA N.º 002/2025,ALTERA A REDAÇÃO DO § 2° DO ART. 8° DA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131406#pesquisa
2024-08-07 10:48:22,EMENDA À LEI ORGÂNICA MUNICIPAL N.º 001/2024,Altera a redação do § 1° do art. 63 da Lei Orgânica do Município de Pindamonhangaba.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125796#pesquisa
2024-04-03 11:09:46,EMENDA À LEI ORGÂNICA N.º 039/2024,"Revisa e atualiza a Lei Orgânica do Município de Pindamonhangaba, Estado de São Paulo, e dá outras providências.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/120309#pesquisa
2023-05-10 00:00:00,EMENDA À LEI ORGÂNICA N.º 038/2023,ALTERA A REDAÇÃO DO ART. 11 DA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/116390#pesquisa
2023-04-05 00:00:00,EMENDA À LEI ORGÂNICA N.º 037/2023,"ALTERA E ACRESCENTA DISPOSITIVO AO ART. 136-A DA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA, PARA ADOTAR NO PROCESSO LEGISLATIVO ORÇAMENTÁRIO MUNICIPAL AS EMENDAS IMPOSITIVAS PREVISTAS NA EMENDA CONSTITUCIONAL Nº 100, DE 26 DE JUNHO DE 2019 E ATUALIZAÇÃO PREVISTA NA EMENDA CONSTITUCIONAL Nº 126, DE 21 DE DEZEMBRO DE 2022.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/116391#pesquisa
2021-07-13 00:00:00,EMENDA À LEI ORGÂNICA N.º 036/2021,ALTERA A REDAÇÃO DOS §§ 1° E 2° DO ART. 135 DA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124952#pesquisa
2019-10-01 00:00:00,EMENDA À LEI ORGÂNICA N.º 035/2019,REVOGA O § 6° DO ART. 136-A DA LEI ORGÂNICA MUNICIPAL.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124951#pesquisa
2017-07-06 00:00:00,EMENDA À LEI ORGÂNICA N.º 034/2017,"ACRESCENTA O ARTIGO 136-A NA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA, INSTITUINDO O ORÇAMENTO IMPOSITIVO.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124950#pesquisa
2016-01-26 00:00:00,EMENDA À LEI ORGÂNICA N.º 033/2016,"DÁ NOVA REDAÇÃO AO INCISO III DO § 2° E AO § 3°, DO ARTIGO 17 DA LEI ORGÂNICA MUNICIPAL.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124945#pesquisa
2013-09-03 00:00:00,EMENDA À LEI ORGÂNICA N.º 032/2013,ACRESCENTA O ART. 95-A À LEI ORGÂNICA MUNICIPAL.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124944#pesquisa
