data,titulo,ementa,autoria,link
2025-06-10 14:03:26,LEI COMPLEMENTAR N.º 83/2025,"ALTERA A LEI COMPLEMENTAR N° 77/2023, QUE DISPÕE SOBRE O CÓDIGO DE POSTURAS DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136292#pesquisa
2024-10-02 10:26:51,LEI COMPLEMENTAR N.º 080/2024,INSTITUI O CÓDIGO DE EDIFICAÇÕES NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127430#pesquisa
2024-10-02 00:00:00,LEI COMPLEMENTAR N.º 082/2024,"ALTERA A LEI COMPLEMENTAR Nº 66, DE 06 DE JANEIRO DE 2022, QUE DISPÕE SOBRE A REVISÃO DO PLANO DIRETOR PARTICIPATIVO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129392#pesquisa
2024-09-24 00:00:00,LEI COMPLEMENTAR N.º 081/2024,DISPÕE SOBRE A CRIAÇÃO DO SERVIÇO PÚBLICO DE LOTERIA NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/128063#pesquisa
2024-09-03 16:41:10,LEI COMPLEMENTAR N.º 079/2024,"ALTERA A LEI COMPLEMENTAR N° 71/2023, QUE ""DISPÕE SOBRE A REGULARIZAÇÃO DAS EDIFICAÇÕES NO MUNICÍPIO DE PINDAMONHANGABA, E DÁ OUTRAS PROVIDÊNCIAS"".
(Projeto de Lei Complementar n° 02/2024, de autoria do Vereador Norberto Moraes e subscrita pelo Vereador José Carlos Gomes - Cal)",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126557#pesquisa
2024-08-13 13:58:49,LEI COMPLEMENTAR N.º 078/2024,"AUTORIZA O PODER EXECUTIVO MUNICIPAL A FAZER CONCESSÃO DE USO DE BEM IMÓVEL PÚBLICO, DE PROPRIEDADE DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125936#pesquisa
2023-12-29 00:00:00,LEI COMPLEMENTAR N.º 077/2023,DISPÕE SOBRE O CÓDIGO DE POSTURAS DO MUNICÍPIO DE PINDAMONHANGABA.,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129751#pesquisa
2023-08-25 00:00:00,LEI COMPLEMENTAR N.º 073/2023,"AUTORIZA O PODER EXECUTIVO MUNICIPAL A FAZER CONCESSÃO DE DIREITO REAL DE USO DE BEM IMÓVEL PÚBLICO, DE PROPRIEDADE DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109702#pesquisa
2023-08-25 00:00:00,LEI COMPLEMENTAR N.º 074/2023,"AUTORIZA O PODER EXECUTIVO MUNICIPAL A FAZER CONCESSÃO DE DIREITO REAL DE USO DE BEM IMÓVEL PÚBLICO, DE PROPRIEDADE DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109703#pesquisa
2023-08-25 00:00:00,LEI COMPLEMENTAR N.º 075/2023,"AUTORIZA O PODER EXECUTIVO MUNICIPAL A FAZER CONCESSÃO DE DIREITO REAL DE USO DE BEM IMÓVEL PÚBLICO, DE PROPRIEDADE DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109704#pesquisa
