data,titulo,ementa,autoria,link
2025-07-16 13:56:42,LEI ORDINÁRIA N.º 6964/2025,"DISPÕE SOBRE A CRIAÇÃO DO PROGRAMA BANCO MUNICIPAL DE DISPOSITIVOS AUXILIARES DE MARCHA (DAM).
(Projeto de Lei n° 128/2025, de autoria do Vereador Carlos Moura - Magrão).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137553#pesquisa
2025-07-16 13:50:44,LEI ORDINÁRIA N.º 6963/2025,"DISPÕE SOBRE AS DIRETRIZES PARA A CRIAÇÃO DO BILHETE DO DESEMPREGADO NO ÂMBITO DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Lei n° 89/2025, de autoria do Vereador Renato Nogueira Guimarães - Renato Cebola).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137552#pesquisa
2025-07-03 16:03:13,LEI ORDINÁRIA N.º 6956/2025,"AUTORIZA A INSTITUIÇÃO DO PROGRAMA EDUCAÇÃO ABERTA PARA A TERCEIRA IDADE.
(Substitutivo n° 11/2025 ao Projeto de Lei n° 110/2025, de autoria do Vereador Gari Abençoado).
 ",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137130#pesquisa
2025-07-03 15:57:31,LEI ORDINÁRIA N.º 6955/2025,"INSTITUI O PROGRAMA DE APOIO À PESSOA IDOSA COM DEMÊNCIA E AOS SEUS FAMILIARES NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Lei n° 65/2025, de autoria do Vereador Professor Felipe Guimarães).
 ",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137129#pesquisa
2025-07-03 15:38:25,LEI ORDINÁRIA N.º 6953/2025,"INSTITUI O PROGRAMA MUNICIPAL DE PROTEÇÃO E PROMOÇÃO DA SAÚDE MENSTRUAL NO MUNICÍPIO DE PINDAMONHANGABA E DA OUTRAS PROVIDÊNCIAS.
(Substitutivo n° 04/2025 ao Projeto de Lei n° 56/2025, de autoria da Vereadora Ana Paula Goffi).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137127#pesquisa
2025-07-03 15:31:54,LEI ORDINÁRIA N.º 6954/2025,"INSTITUI A LEI DE FISCALIZAÇÃO E APLICAÇÃO DE PENALIDADES ÀS EMPRESAS E CONCESSIONÁRIAS DE SANEAMENTO BÁSICO NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Substitutivo n° 12/2025 ao Projeto de Lei n° 105/2025, de autoria da Vereadora Ana Paula Goffi e do Vereador Norberto Moraes).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137126#pesquisa
2025-07-03 00:00:00,LEI ORDINÁRIA N.º 6952/2025,"DISPÕE SOBRE A FISCALIZAÇÃO DOS SERVIÇOS PRESTADOS PELA CONCESSIONÁRIA DE ENERGIA ELÉTRICA EDP NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Lei n° 121/2025, de autoria do Vereador Norberto Moraes).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137128#pesquisa
2025-06-26 16:44:24,LEI ORDINÁRIA N.º 6950/2025,"DISPÕE SOBRE A INSTITUIÇÃO DO PROGRAMA ""TERCEIRA IDADE EM MOVIMENTO"" NO ÂMBITO DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Substitutivo n° 02/2025 ao Projeto de Lei n° 66/2025, de autoria do Vereador Carlos Moura - Magrão).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136807#pesquisa
2025-06-26 00:00:00,LEI ORDINÁRIA N.º 6949/2025,"DISPÕE SOBRE A PRIORIDADE NA LISTA DE ESPERA PARA ATENDIMENTO PSICOLÓGICO DE PAIS E/OU RESPONSÁVEIS POR PESSOAS COM DEFICIÊNCIA NO MUNICÍPIO DE PINDAMONHANGABA-SP E SOBRE A POSSIBILIDADE DE OFERTA DE PSICOTERAPIA ONLINE PELO MUNICÍPIO.
(Substitutivo n° 19/2025 ao Projeto de Lei n° 77/2025, de autoria do Vereador Marco Mayor).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136806#pesquisa
2025-06-25 10:12:15,LEI ORDINÁRIA N.º 6948/2025,"ALTERA A LEI N° 6897, DE 21 DE JANEIRO DE 2025, QUE REGULAMENTA AS NORMAS PARA A REALIZAÇÃO DE RODEIOS NO ÂMBITO DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Lei n° 191/2025, de autoria do Vereador Norberto Moraes).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136769#pesquisa
2025-06-03 15:12:41,LEI ORDINÁRIA N.º 6935/2025,"ALTERA A LEI N° 5677, DE 08 DE JULHO DE 2014, QUE REGULAMENTA O TRATAMENTO FORA DO DOMICÍLIO - TFD.
(Projeto de Lei n° 73/2025, de autoria do Vereador Norberto Moraes).


 ",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136004#pesquisa
