data,titulo,ementa,autoria,link
2025-07-16 08:48:01,ORDEM DO DIA N° 26/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137550#pesquisa
2025-07-04 13:21:20,ORDEM DO DIA N° 25/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137162#pesquisa
2025-07-02 10:55:02,ORDEM DO DIA N° 24/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137026#pesquisa
2025-06-25 11:28:37,ORDEM DO DIA N° 23/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136781#pesquisa
2025-06-16 16:29:07,ORDEM DO DIA N° 22/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136531#pesquisa
2025-06-11 11:14:44,ORDEM DO DIA N° 21/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136338#pesquisa
2025-06-04 10:23:19,ORDEM DO DIA N° 20/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136019#pesquisa
2025-05-28 10:11:07,ORDEM DO DIA N° 19/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135785#pesquisa
2025-05-21 11:18:31,ORDEM DO DIA N° 18/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135563#pesquisa
2025-05-14 15:53:56,ORDEM DO DIA N° 17/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135351#pesquisa
2025-05-07 16:12:10,ORDEM DO DIA N° 16/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135064#pesquisa
2025-04-28 16:21:56,ORDEM DO DIA N° 15/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134755#pesquisa
2025-04-23 15:06:19,ORDEM DO DIA N° 14/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134508#pesquisa
2025-04-15 10:13:28,ORDEM DO DIA N° 13/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134240#pesquisa
2025-04-09 10:35:29,ORDEM DO DIA N° 12/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134057#pesquisa
2025-04-02 14:08:36,ORDEM DO DIA N° 11/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133801#pesquisa
2025-03-26 13:29:53,ORDEM DO DIA N° 10/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133466#pesquisa
2025-03-19 10:23:49,ORDEM DO DIA N° 09/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133162#pesquisa
2025-03-13 08:59:36,ORDEM DO DIA N° 08/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132907#pesquisa
2025-03-06 09:13:08,ORDEM DO DIA N° 07/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132568#pesquisa
2025-02-26 16:50:53,ORDEM DO DIA N° 06/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132319#pesquisa
2025-02-20 08:42:27,ORDEM DO DIA N° 05/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131973#pesquisa
2025-02-13 08:11:43,ORDEM DO DIA N° 04/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131455#pesquisa
2025-02-05 15:08:50,ORDEM DO DIA N° 03/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131026#pesquisa
2025-01-29 15:35:29,ORDEM DO DIA N° 02/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130778#pesquisa
2025-01-22 15:43:05,ORDEM DO DIA N° 01/2025,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130536#pesquisa
2024-12-12 10:00:30,ORDEM DO DIA N° 44/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129800#pesquisa
2024-12-04 16:03:50,ORDEM DO DIA N° 43/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129624#pesquisa
2024-11-28 09:39:41,ORDEM DO DIA N° 42/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129455#pesquisa
2024-11-19 18:28:52,ORDEM DO DIA N° 41/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129240#pesquisa
2024-11-13 11:09:06,ORDEM DO DIA N° 40/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129077#pesquisa
2024-11-06 11:57:02,ORDEM DO DIA N° 39/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/128465#pesquisa
2024-10-30 14:47:43,ORDEM DO DIA N° 38/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/128229#pesquisa
2024-10-23 17:14:31,ORDEM DO DIA N° 37/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/128039#pesquisa
2024-10-16 08:38:11,ORDEM DO DIA N° 36/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127780#pesquisa
2024-10-10 09:02:51,ORDEM DO DIA N° 35/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127600#pesquisa
2024-10-02 11:58:34,ORDEM DO DIA N° 34/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127446#pesquisa
2024-09-30 11:26:14,PAUTA ,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127311#pesquisa
2024-09-25 17:28:41,ORDEM DO DIA N° 33/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127206#pesquisa
2024-09-18 14:06:59,ORDEM DO DIA N° 32/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126967#pesquisa
2024-09-11 16:16:23,ORDEM DO DIA N° 31/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126776#pesquisa
2024-09-04 10:40:33,ORDEM DO DIA N° 30/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126576#pesquisa
2024-08-28 17:20:52,ORDEM DO DIA N° 29/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126369#pesquisa
2024-08-21 16:37:05,ORDEM DO DIA N° 28/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126192#pesquisa
2024-08-14 16:01:26,ORDEM DO DIA N°27/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125984#pesquisa
2024-08-07 08:58:09,ORDEM DO DIA N° 26/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125755#pesquisa
2024-07-12 09:03:17,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124404#pesquisa
2024-07-03 17:20:17,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124142#pesquisa
2024-06-26 13:40:45,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/123880#pesquisa
2024-06-19 15:15:27,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/123545#pesquisa
2024-06-12 16:16:56,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/123235#pesquisa
2024-06-05 12:13:31,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122843#pesquisa
2024-05-28 09:39:22,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122601#pesquisa
2024-05-22 16:29:28,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122428#pesquisa
2024-05-15 15:37:05,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122131#pesquisa
2024-05-08 15:14:44,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121777#pesquisa
2024-04-30 11:37:24,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121523#pesquisa
2024-04-24 11:25:43,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121272#pesquisa
2024-04-17 11:36:37,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/120939#pesquisa
2024-04-10 14:29:32,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/120678#pesquisa
2024-04-03 13:57:34,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/120320#pesquisa
2024-03-27 08:45:07,ORDEM DO DIA 10/2024,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/120111#pesquisa
2024-03-20 13:02:46,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119864#pesquisa
2024-03-13 14:05:01,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119590#pesquisa
2024-03-06 15:54:34,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119333#pesquisa
2024-02-28 10:55:32,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119068#pesquisa
2024-02-21 16:28:13,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/118898#pesquisa
2024-02-14 17:11:18,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/118561#pesquisa
2024-02-07 15:19:35,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/118298#pesquisa
2024-01-31 17:44:33,ORDEM DO DIA,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/116693#pesquisa
2024-01-25 09:15:46,Ordem do Dia,,,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/116487#pesquisa
