data,titulo,ementa,autoria,link
2025-06-25 08:58:55,RESOLUÇÃO N.º 012/2025,"DISPÕE SOBRE A CRIAÇÃO DO PROJETO “CÂMARA MIRIM” NO ÂMBITO DA CÂMARA DE VEREADORES DE PINDAMONHANGABA, E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Resolução n° 17/2025, de autoria do Vereador Marco Mayor).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136759#pesquisa
2025-04-23 08:57:43,RESOLUÇÃO N.º 011/2025,"ALTERA A RESOLUÇÃO Nº 12/2021, QUE ‘CONCEDE CESTA BÁSICA AOS SERVIDORES E ESTAGIÁRIOS DA CÂMARA DE PINDAMONHANGABA’.
(Projeto de Resolução n° 15/2025, de autoria da Mesa Diretora).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134490#pesquisa
2025-04-23 08:51:20,RESOLUÇÃO N.º 010/2025,"CRIA O PROGRAMA “SELO AGRÍCOLA” NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Resolução n° 13/2025, de autoria do Vereador Felipe César Filho - FC).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134488#pesquisa
2025-03-19 08:27:27,RESOLUÇÃO N.º 009/2025,"INSTITUI O BANCO DE IDEIAS LEGISLATIVAS NA CÂMARA DO MUNICÍPIO DE PINDAMONHANGABA.
(Projeto de Resolução n° 10/2025, de autoria do Vereador Renato Nogueira Guimarães - Renato Cebola).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133158#pesquisa
2025-03-12 08:34:26,RESOLUÇÃO N.º 008/2025,"DISPÕE SOBRE A CONSTITUIÇÃO DA COMISSÃO DE ASSUNTOS RELEVANTES EM APOIO À REATIVAÇÃO DA ESTRADA DE FERRO CAMPOS DO JORDÃO.
(Projeto de Resolução n° 12/2025, de autoria do Vereador Professor Everton).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132866#pesquisa
2025-03-07 08:57:29,RESOLUÇÃO N.º 007/2025,"DISPÕE SOBRE A CRIAÇÃO DA PROCURADORIA DA MULHER NO ÂMBITO DA CÂMARA DE VEREADORES DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Resolução n° 07/2024, de autoria da Vereadora Ana Paula Goffi).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132627#pesquisa
2025-02-12 09:51:26,RESOLUÇÃO N.º 006/2025,"REGULAMENTA O PROGRAMA DE TREINAMENTO AOS SERVIDORES DA CÂMARA DE VEREADORES DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Resolução n° 08/2025, de autoria da Mesa Diretora)",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131409#pesquisa
2025-02-12 09:41:10,RESOLUÇÃO N.º 005/2025,"ALTERA A REDAÇÃO DO § 2° DO ART. 2° DO REGIMENTO INTERNO DA CÂMARA DE VEREADORES DE PINDAMONHANGABA.
(Projeto de Resolução n° 01/2025, de autoria da Mesa Diretora)",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131408#pesquisa
2025-01-29 09:07:00,RESOLUÇÃO N.º 004/2025,"DISPÕE SOBRE O SERVIÇO DE TESOURARIA NO ÂMBITO DA CÂMARA DE VEREADORES DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Resolução n° 05/2025, de autoria da Mesa Diretora).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130767#pesquisa
2025-01-29 09:01:31,RESOLUÇÃO N.º 003/2025,"ALTERA A RESOLUÇÃO N° 04, DE 31 DE MAIO DE 2023, QUE 'DISPÕE SOBRE A ESTRUTURA ADMINISTRATIVA E DE ASSESSORAMENTO PARLAMENTAR DA CÂMARA DE MUNICIPAL DE PINDAMONHANGABA, SOBRE A CRIAÇÃO E EXTINÇÃO DE CARGOS EM COMISSÃO, E DÁ OUTRAS PROVIDÊNCIAS'.
(Projeto de Resolução n° 04/2025, de autoria da Mesa Diretora).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130766#pesquisa
2025-01-29 08:59:10,RESOLUÇÃO N.º 002/2025,"ALTERA A RESOLUÇÃO N° 04, DE 31 DE MAIO DE 2023, QUE 'DISPÕE SOBRE A ESTRUTURA ADMINISTRATIVA E DE ASSESSORAMENTO PARLAMENTAR DA CÂMARA DE MUNICIPAL DE PINDAMONHANGABA, SOBRE A CRIAÇÃO E EXTINÇÃO DE CARGOS EM COMISSÃO, E DÁ OUTRAS PROVIDÊNCIAS'.
(Projeto de Resolução n° 03/2025, de autoria da Mesa Diretora).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130765#pesquisa
2025-01-29 08:55:57,RESOLUÇÃO N.º 001/2025,"FIXA O SUBSÍDIO DOS VEREADORES PARA A LEGISLATURA 2029/2032.
(Projeto de Resolução n° 02/2025, de autoria da Mesa Diretora).",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130764#pesquisa
2024-12-11 09:58:48,RESOLUÇÃO N.º 005/2024,"REGULAMENTA A CONCESSÃO DE HORÁRIO ESPECIAL DE TRABALHO AO SERVIDOR COM DEFICIÊNCIA OU COM DEPENDENTE LEGAL NA MESMA CONDIÇÃO, NO ÂMBITO DO PODER LEGISLATIVO DE PINDAMONHANGABA/SP.
(Projeto de Resolução n° 06/2024, de autoria da Mesa Diretora)",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129784#pesquisa
2024-09-09 16:34:43,RESOLUÇÃO N.º 004/2024,"FIXA O SUBSÍDIO DOS VEREADORES PARA A LEGISLATURA 2025/2028.
(Projeto de Resolução n° 05/2024, de autoria da Mesa Diretora)",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126693#pesquisa
2024-04-24 08:56:25,RESOLUÇÃO N.º 003/2024,"ALTERA O ANEXO V E CRIA O ANEXO VI NA RESOLUÇÃO Nº 04 DE 31 DE MAIO DE 2023, QUE DISPÕE SOBRE A ESTRUTURA ADMINISTRATIVA E DE ASSESSORAMENTO PARLAMENTAR DA CÂMARA MUNICIPAL DE PINDAMONHANGABA, SOBRE A CRIAÇÃO E EXTINÇÃO DE CARGOS EM COMISSÃO E DÁ OUTRAS PROVIDÊNCIAS.
(Projeto de Resolução n° 004/2024, de autoria da Mesa Diretora)",,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121266#pesquisa
