data,titulo,ementa,autoria,link
2025-07-14 16:27:58,EMENDA MODIFICATIVA N.º 006/2025 AO PROJETO DE LEI ORDINÁRIA N.º 248/2025,"EMENDA MODIFICATIVA AO PROJETO DE LEI N° 248/2025, que altera dispositivos da Lei Ordinária nº 6.194, de 20 de dezembro de 2018, que dispõe sobre a Estrutura Organizacional da Prefeitura Municipal de Pindamonhangaba e dá outras providências.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137498#pesquisa
2025-07-03 10:19:21,SUBSTITUTIVO N.º 029/2025 AO PROJETO DE LEI ORDINÁRIA N.º 214/2025,"Denomina o campo de futebol do Centro Esportivo José Ely de Miranda ""ZITO"" de Jackson Luiz Tomaz Floriano.

 ",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137074#pesquisa
2025-06-30 16:32:24,SUBSTITUTIVO N.º 028/2025 AO PROJETO DE LEI ORDINÁRIA N.º 165/2025,"""Dispõe sobre a obrigatoriedade de divulgação da agenda de compromissos oficiais das autoridades do Poder Executivo Municipal e dá outras providências.""",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136802#pesquisa
2025-06-27 09:18:21,SUBSTITUTIVO N.º 027/2025 AO PROJETO DE LEI ORDINÁRIA N.º 221/2025,"Dispõe sobre a criação da Política Municipal de Qualificação Profissional - Qualifica Pinda, no município de Pindamonhangaba e dá outras providências.",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136799#pesquisa
2025-06-11 16:26:27,SUBSTITUTIVO N.º 026/2025 AO PROJETO DE LEI ORDINÁRIA N.º 159/2025,""" Institui o Programa Cidade Amiga do Circo no Município de Pindamonhangaba e dá outras providências.""",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136350#pesquisa
2025-06-11 16:23:55,SUBSTITUTIVO N.º 025/2025 AO PROJETO DE LEI ORDINÁRIA N.º 207/2025,"Dispõe sobre a criação de sala de integração sensorial para pessoas com Transtorno do Espectro Autista, Transtorno do Déficit de Atenção com Hiperatividade e outros transtornos de comportamento no Município de Pindamonhangaba.",Gilson Nagrin,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136282#pesquisa
2025-06-03 13:12:46,EMENDA MODIFICATIVA N.º 005/2025 AO PROJETO DE LEI ORDINÁRIA N.º 205/2025,"EMENDA MODIFICATIVA AO PROJETO DE LEI N° 205/2025, QUE 'ALTER A LEI N° 3.429, DE 03 DE JUNHO DE 1998, QUE AUTORIZA A PREFEITURA MUNICIPAL A INSTITUIR NAS VIAS E LOGRADOUROS PÚBLICOS, ÁREAS ESPECIAIS PARA ESTACIONAMENTO POR TEMPO LIMITADO E DÁ OUTRAS PROVIDÊNCIAS"".",Marco Mayor; Professor Everton; Norberto Moraes; Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136000#pesquisa
2025-05-19 17:00:09,EMENDA ADITIVA N.º 003/2025 AO PROJETO DE LEI ORDINÁRIA N.º 139/2025,"Inclui o artigo 23 - A, ao Projeto de Lei nº 139/2025, que “Dispõe sobre a criação do Arquivo Público Municipal de Pindamonhangaba, define diretriz da política municipal de arquivos públicos e privados e cria o Sistema Municipal de Arquivos - SISMAR”.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135524#pesquisa
2025-05-19 16:50:43,EMENDA ADITIVA N.º 002/2025 AO PROJETO DE LEI ORDINÁRIA N.º 139/2025,"Inclui o parágrafo único, ao artigo 23 do Projeto de Lei nº 139/2025, que “Dispõe sobre a criação do Arquivo Público Municipal de Pindamonhangaba, define diretriz da política municipal de arquivos públicos e privados e cria o Sistema Municipal de Arquivos - SISMAR”.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135503#pesquisa
2025-05-19 16:49:59,EMENDA ADITIVA N.º 001/2025 AO PROJETO DE LEI ORDINÁRIA N.º 139/2025,"Inclui o parágrafo único, ao artigo 2º do Projeto de Lei nº 139/2025, que ""Dispõe sobre a criação do Arquivo Público Municipal de Pindamonhangaba, define diretriz da política municipal de arquivos públicos e privados e cria o Sistema Municipal de Arquivos - SISMAR"".",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135499#pesquisa
2025-05-05 17:04:32,SUBSTITUTIVO N.º 024/2025 AO PROJETO DE LEI ORDINÁRIA N.º 155/2025,"INCLUI NO CALENDÁRIO OFICIAL DO MUNICÍPIO DE PINDAMONHANGABA/SP, O EVENTO “PINDA BATTLE”",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134982#pesquisa
2025-04-28 16:37:26,SUBSTITUTIVO N.º 023/2025 AO PROJETO DE RESOLUÇÃO N.º 009/2025,"Dispõe sobre a criação do ""Parlamento Jovem de Pindamonhangaba"" no âmbito da Câmara Municipal de Pindamonhangaba e dá outras providências.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134606#pesquisa
2025-04-24 10:01:56,SUBSTITUTIVO N.º 022/2025 AO PROJETO DE LEI ORDINÁRIA N.º 122/2025,"Institui o Programa “Cuidando de Quem Cuida”, visando promover ações de orientação e atenção às mães atípicas, e estabelece a Semana da Maternidade Atípica, no município de Pindamonhangaba.",Gilson Nagrin,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134512#pesquisa
2025-04-02 15:41:04,SUBSTITUTIVO N.º 021/2025 AO PROJETO DE LEI ORDINÁRIA N.º 026/2025,"Inclui no Calendário Oficial de Eventos do Município ""Blues na Praça"", e dá outras providências.",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133794#pesquisa
