data,titulo,ementa,autoria,link
2025-07-14 16:51:31,INDICAÇÃO DE PROJETO DE LEI N.º 36/2025,Disciplina a implantação de crematório e incineração de cadáveres animais no Município de Pindamonhangaba e dá outras providências.,Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137515#pesquisa
2025-07-08 09:17:19,INDICAÇÃO DE PROJETO DE LEI N.º 35/2025,"Autoriza a Prefeitura Municipal a criar o Sistema de Bicicletas Públicas, como opção de transporte público sustentável e não poluente, com respeito ao meio ambiente equilibrado.",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137131#pesquisa
2025-06-05 16:04:14,INDICAÇÃO DE PROJETO DE LEI N.º 34/2025,"Institui o Programa Municipal de Inserção Profissional e Empreendedora de Mães, Pais e Cuidadores de Pessoas com Deficiência e Neurodivergentes no Município e dá outras providências.",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135991#pesquisa
2025-05-29 15:07:20,INDICAÇÃO DE PROJETO DE LEI N.º 33/2025,"Dispõe sobre o sepultamento digno de nascituros e de natimortos, no âmbito do município de Pindamonhangaba.",Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135832#pesquisa
2025-05-15 16:32:34,INDICAÇÃO DE PROJETO DE LEI N.º 32/2025,"Dispõe sobre a concessão de desconto de 20% (vinte por cento), no valor do IPTU, para minimercados, mercados, supermercados e afins, exceto aqueles estabelecidos nas dependências do Shopping Center, Galerias e afins que não disponham de matrículas individualizadas, que se comprometam a oferecer 20% (vinte por cento) de desconto aos consumidores na compra de carne e ovos in natura no Município de Pindamonhangaba, e dá outras providências.",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135361#pesquisa
2025-05-12 10:42:16,INDICAÇÃO DE PROJETO DE LEI N.º 31/2025,"DISPÕE SOBRE A CRIAÇÃO DO PROGRAMA ENFERMAGEM NAS ESCOLAS. QUE CONSISTE NA PERMANÊNCIA DE ENFERMEIROS E TÉCNICO EM ENFERMAGEM NAS UNIDADE, ESTABELECIMENTOS DE ENSINO E CRECHES DAS REDES PÚBLICAS NA CIDADE DE PINDAMONHANGABA.",Gilson Nagrin,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135190#pesquisa
2025-05-05 17:01:11,INDICAÇÃO DE PROJETO DE LEI N.º 30/2025,Estabelece Adicional de Risco de Vida na forma que especifica os dispositivos legais que menciona e dá outras providências.,Felipe César Filho - FC,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134961#pesquisa
2025-04-17 16:40:32,INDICAÇÃO DE PROJETO DE LEI N.º 29/2025,"Dispõe sobre a obrigatoriedade da Prefeitura Municipal de Pindamonhangaba fornecer carnês de IPTU em formato impresso e em braile aos contribuintes que o solicitarem, e dá outras providências.
 ",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134253#pesquisa
2025-04-14 16:31:16,INDICAÇÃO DE PROJETO DE LEI N.º 28/2025,"Insere o §3º, no artigo 2º , da Lei nº 5.198, de 19 de maio de 2011, que cria a Gratificação por desempenho de Atividade Delegada, nos termos que especifica, a ser paga aos Policiais do 5º BPMI que exerçam Atividade Municipal Delegada ao Estado de São Paulo, por meio de convênio celebrado com o município de Pindamonhangaba e dá outras providências.",Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134191#pesquisa
2025-04-14 08:29:56,INDICAÇÃO DE PROJETO DE LEI N.º 27/2025,Institui o Programa de Prevenção da Saúde dos Pés no Município de Pindamonhangaba e dá outras providências.,Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134075#pesquisa
2025-04-07 15:31:02,INDICAÇÃO DE PROJETO DE LEI N.º 26/2025,Dispõe sobre a criação do Complexo de Referência da Pessoa com Transtorno do Espectro Autista (TEA) no Município de Pindamonhangaba.,Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133971#pesquisa
2025-03-31 11:06:49,INDICAÇÃO DE PROJETO DE LEI N.º 25/2025,"Dispõe sobre a autorização para o uso de bermuda e camiseta por servidores públicos municipais, comissionados e funcionários de empresas terceirizadas que prestam serviços para a Prefeitura de Pindamonhangaba durante o período de verão e calor intenso.  ",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133606#pesquisa
2025-03-27 08:18:33,INDICAÇÃO DE PROJETO DE LEI N.º 24/2025,Institui o Programa de Alfabetização na Zona Rural no Município de Pindamonhangaba e dá outras providências.,Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133322#pesquisa
2025-03-17 16:46:58,INDICAÇÃO DE PROJETO DE LEI N.º 23/2025,Indicação ao Poder Executivo sobre a área de preservação Permanente de cursos hídricos em áreas Urbanas consolidadas.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133062#pesquisa
2025-03-17 15:12:57,INDICAÇÃO DE PROJETO DE LEI N.º 22/2025,"""Obriga a instalação de Sistema de Posicionamento Global - GPS nos veículos de transporte escolar"".",Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132931#pesquisa
2025-02-27 14:44:10,INDICAÇÃO DE PROJETO DE LEI N.º 21/2025,Indicação ao Poder Executivo para alterar o nome da Guarda Civil Municipal de Pindamonhangaba para Polícia Municipal.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132352#pesquisa
2025-02-27 14:01:37,INDICAÇÃO DE PROJETO DE LEI N.º 20/2025,Institui o “Portal dos Raros” no âmbito do Município de Pindamonhangaba e dá outras providências.,Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132346#pesquisa
2025-02-27 13:56:51,INDICAÇÃO DE PROJETO DE LEI N.º 19/2025,Dispõe sobre a obrigatoriedade do Poder Executivo a conceder o benefício da gratuidade no transporte coletivo de passageiros às pessoas maiores de 60 (sessenta) anos.,Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132211#pesquisa
2025-02-27 08:16:43,INDICAÇÃO DE PROJETO DE LEI N.º 18/2025,"""Dispõe sobre a obrigatoriedade da implantação do ""Teste da Orelhinha ou Triagem Auditiva Neonatal"" em recém-nascidos no âmbito do Município de Pindamonhangaba""",Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132286#pesquisa
