data,titulo,ementa,autoria,link
2025-07-14 16:49:35,MOÇÃO DE CONGRATULAÇÕES N.º 209/2025,"Moção de Congratulações a todos os envolvidos na realização do Festival do Tropeiro de Pindamonhangaba, evento que celebrou com excelência a tradição, a cultura e a história do nosso povo.",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137511#pesquisa
2025-07-14 16:16:12,MOÇÃO DE CONGRATULAÇÕES N.º 208/2025,"Congratulações ao Presbítero Alexandre Jose Domingos, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior, na Congregação do Marica.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137329#pesquisa
2025-07-14 16:15:30,MOÇÃO DE CONGRATULAÇÕES N.º 207/2025,"Congratulações ao Evangelista João Paulo dos Santos, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior, na Congregação do Santa Cecilia.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137327#pesquisa
2025-07-14 16:14:51,MOÇÃO DE CONGRATULAÇÕES N.º 206/2025,"Congratulações ao Presbítero Joceliano Souza de Oliveira, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior, na Congregação do Morumbi.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137326#pesquisa
2025-07-14 16:14:05,MOÇÃO DE CONGRATULAÇÕES N.º 205/2025,"Congratulações ao Presbítero Luiz Carlos Alves de Oliveira, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior, na Congregação do Goiabal.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137325#pesquisa
2025-07-14 16:13:24,MOÇÃO DE CONGRATULAÇÕES N.º 204/2025,"Congratulações ao Presbítero Lucas Carlos de Assis, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior, na Congregação do Rodeio.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137323#pesquisa
2025-07-14 16:12:35,MOÇÃO DE CONGRATULAÇÕES N.º 203/2025,"Congratulações ao Presbítero Moises Oliveira Rocha, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior, na Congregação de Moreira Cesar.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137321#pesquisa
2025-07-08 09:30:28,MOÇÃO DE CONGRATULAÇÕES N.º 202/2025,"Congratulações ao Presbítero Elson Lennon de Oliveira Sério, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137302#pesquisa
2025-07-08 09:30:03,MOÇÃO DE CONGRATULAÇÕES N.º 201/2025,"Congratulações ao Evangelista Gilberto Barros Uchoa Junior, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137300#pesquisa
2025-07-08 09:29:26,MOÇÃO DE CONGRATULAÇÕES N.º 200/2025,"Congratulações ao Presbítero Genésio Augusto da Silva, pela brilhante atuação à frente da Assembleia de Deus Ministério do Belém sediada em Pindamonhangaba, Presidida pelo Pastor Euclides Vaz Junior , na Congregação do Piracuama.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137299#pesquisa
2025-07-08 09:14:11,MOÇÃO DE CONGRATULAÇÕES N.º 199/2025,"MOÇÃO DE CONGRATULAÇÕES à Equipe de Judô de Pindamonhangaba, pela conquista do vice-campeonato nos Jogos Regionais, realizados nos dias 5 e 6 de julho de 2025, na cidade de São José dos Campos.",Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137296#pesquisa
2025-07-07 13:27:01,MOÇÃO DE APOIO N.º 198/2025,"MOÇÃO DE APOIO aos servidores das carreiras de Apoio Agropecuário e Apoio à Pesquisa do Estado de São Paulo, pelos relevantes serviços prestados à população paulista e pela urgência da adoção de medidas de valorização e recomposição do quadro funcional dessas categorias.",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136998#pesquisa
2025-07-07 13:09:50,MOÇÃO DE CONGRATULAÇÕES N.º 197/2025,"Moção de Congratulações aos atletas, comissão e diretoria do Pinda FC, pelo título da Paulista Cup de Clubes na categoria sub-13.",Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137237#pesquisa
2025-07-07 11:40:09,MOÇÃO DE CONGRATULAÇÕES N.º 196/2025,"MOÇÃO DE CONGRATULAÇÃO ao Conselho Municipal de Assistência Social (CMAS), à Secretaria de Assistência Social, na pessoa da Secretária Andrea Aparecida Barreto dos Santos, e à Secretária Adjunta Dra. Cláudia Maria Vieira Domingues, bem como à Prefeitura Municipal de Pindamonhangaba, pela realização da 12ª Conferência Municipal de Assistência Social, ocorrida no dia 2 de julho de 2025, na UniFUNVIC, com o tema: “20 anos do SUAS: construção, proteção social e resistência”.",Gari Abençoado,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137179#pesquisa
2025-07-04 14:43:00,MOÇÃO DE CONGRATULAÇÕES N.º 195/2025,"MOÇÃO DE CONGRATULAÇÕES ao Sr. Luiz Gustavo Batista Jerônimo - Kong, professor de Capoeira que realiza TRABALHO SOCIAL na cidade dePindamonhangaba desde 2013.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137166#pesquisa
2025-07-04 10:31:34,MOÇÃO DE CONGRATULAÇÕES N.º 194/2025,"Moção de congratulações à aluna Sofia Salles de Freitas, do curso Nutrição e Dietética integrado ao Ensino Médio, da Escola Técnica Estadual (Etec) de Pindamonhangaba - ""João Gomes de Araújo"", pela sua seleção para o Programa de Intercâmbio Cultural do Centro Paula Souza.",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137122#pesquisa
2025-07-03 09:24:09,MOÇÃO DE CONGRATULAÇÕES N.º 193/2025,"Moção de Congratulações à Senhora Marlla Christine dos Reis Dônola, servidora da Secretaria de Saúde do Município de Pindamonhangaba, em reconhecimento à sua trajetória de vida e dedicação exemplar ao serviço público.",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136999#pesquisa
2025-06-30 16:34:38,MOÇÃO DE CONGRATULAÇÕES N.º 192/2025,"Moção de Congratulação ao Diretor de TV e Videomaker, André Luis do Nascimento, pela brilhante apresentação do documentário ""Caminho da Fé: Uma Jornada de Fé e Devoção em Pindamonhangaba"", pelo papel fundamental na preservação da cultura e da história de nossa cidade e pelo reconhecimento da Academia Pindamonhangabense de Letras.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136969#pesquisa
