data,titulo,ementa,autoria,link
2025-07-14 11:07:00,PROJETO DE DECRETO LEGISLATIVO N.º 020/2025,"""Concede o Título de Cidadão Pindamonhangabense""",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137314#pesquisa
2025-07-03 16:05:24,PROJETO DE DECRETO LEGISLATIVO N.º 019/2025,"""Concede o Título  de Cidadão Pindamonhangabense"".",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137105#pesquisa
2025-06-27 10:33:43,PROJETO DE DECRETO LEGISLATIVO N.º 018/2025,Concede o Título  de Cidadão Pindamonhangabense.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136826#pesquisa
2025-06-12 13:52:03,PROJETO DE DECRETO LEGISLATIVO N.º 017/2025,Concede o Título de Cidadão Pindamonhangabense.,Professor Felipe Guimarães; Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136360#pesquisa
2025-06-09 11:16:38,PROJETO DE DECRETO LEGISLATIVO N.º 016/2025,"""Concede o Título  de Cidadão Pindamonhangabense"".",Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136063#pesquisa
2025-04-24 14:32:01,PROJETO DE DECRETO LEGISLATIVO N.º 015/2025,Concede Título de Cidadã Pindamonhangabense.,Gari Abençoado,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134561#pesquisa
2025-04-04 14:53:02,PROJETO DE DECRETO LEGISLATIVO N.º 014/2025,Concede a MEDALHA PERCY NEWTON DE LACERDA CÉSAR.,Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133886#pesquisa
2025-04-03 16:07:35,PROJETO DE DECRETO LEGISLATIVO N.º 013/2025,Concede a MEDALHA PERCY NEWTON DE LACERDA CÉSAR.,Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133779#pesquisa
2025-04-03 16:07:13,PROJETO DE DECRETO LEGISLATIVO N.º 012/2025,INSTITUI HOMENAGEM A SER PRESTADA AOS ATLETAS DO A.E. INDUSTRIAL DE PINDAMONHANGABA PELOS 50 ANOS DA CONQUISTA DO TÍTULO DE CAMPEÃO AMADOR DO ESTADO DE SÃO PAULO.,Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133746#pesquisa
2025-03-17 11:36:48,PROJETO DE DECRETO LEGISLATIVO N.º 011/2025,Concede a Comenda Capitão Bicudo Leme,Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133047#pesquisa
2025-02-28 16:56:22,PROJETO DE DECRETO LEGISLATIVO N.º 010/2025,"Dá nova redação ao artigo 1º , 2º e 3º do Decreto Legislativo nº 03/2010, que institui Sessão Solene Comemorativa ao Dia Mundial do Escoteiro

 ",Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132487#pesquisa
2025-02-27 08:16:11,PROJETO DE DECRETO LEGISLATIVO N.º 009/2025,Concede Título de Cidadã Pindamonhangabense.,Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132273#pesquisa
2025-02-24 16:14:08,PROJETO DE DECRETO LEGISLATIVO N.º 008/2025,"Concede o Diploma ""Dr. João Romeiro"".
 ",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132163#pesquisa
2025-02-17 16:46:58,PROJETO DE DECRETO LEGISLATIVO N.º 007/2025,Concede a MEDALHA PERCY NEWTON DE LACERDA CÉSAR.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131575#pesquisa
2025-02-17 16:04:26,PROJETO DE DECRETO LEGISLATIVO N.º 006/2025,Concede a Comenda João Carlos de Oliveira.,Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131632#pesquisa
2025-02-13 14:57:39,PROJETO DE DECRETO LEGISLATIVO N.º 005/2025,"Dispõe sobre a realização de Sessão Solene em Homenagem ao “Dia do Paratleta”, no Município de Pindamonhangaba e dá outras providências.",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131394#pesquisa
2025-02-13 14:57:12,PROJETO DE DECRETO LEGISLATIVO N.º 004/2025,"Institui a Sessão Solene comemorativa ao ""Dia do Servidor Público"", no âmbito da Câmara de Vereadores de Pindamonhangaba.",Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131399#pesquisa
2025-02-13 14:55:26,PROJETO DE DECRETO LEGISLATIVO N.º 003/2025,"Concede a MEDALHA PERCY NEWTON DE LACERDA CÉSAR.

 ",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131420#pesquisa
2025-02-06 17:25:01,PROJETO DE DECRETO LEGISLATIVO N.º 002/2025,"Altera o Decreto Legislativo nº. 005 de 2011 que Institui a Comenda Dr. Cícero da Silva Prado - ""Capitão da Indústria"".",Rogério Ramos; Marco Mayor; Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131102#pesquisa
2025-01-22 15:16:07,PROJETO DE DECRETO LEGISLATIVO N.º 001/2025,"Altera o Decreto Legislativo nº 001/2018, que dispõe sobre a homenagem ao Dia do Gari, comemorado nacionalmente no dia 16 maio.",Gari Abençoado,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130521#pesquisa
2024-12-05 14:10:09,PROJETO DE DECRETO LEGISLATIVO N.º 019/2024,"""Concede o Título de Cidadã Pindamonhangabense"".",Julinho Car,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129664#pesquisa
2024-12-02 17:04:16,PROJETO DE DECRETO LEGISLATIVO N.º 018/2024,Concede Título de Mérito Legislativo.,Herivelto Vela,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129516#pesquisa
2024-11-25 16:15:14,PROJETO DE DECRETO LEGISLATIVO N.º 017/2024,"""Concede o Título de Cidadã Pindamonhangabense"".",Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129367#pesquisa
2024-11-25 09:40:27,PROJETO DE DECRETO LEGISLATIVO N.º 016/2024,"Dispõe sobre a realização de Sessão Solene em comemoração ao Dia das Mães Atípicas, a ser celebrado no dia 14 de maio, no Município de Pindamonhangaba.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129327#pesquisa
2024-11-22 14:58:05,PROJETO DE DECRETO LEGISLATIVO N.º 015/2024,"""Concede o Título de Cidadão Pindamonhangabense"".",Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129285#pesquisa
2024-10-14 09:00:46,PROJETO DE DECRETO LEGISLATIVO N.º 014/2024,"""Concede o Título de Cidadão Pindamonhangabense"".",Herivelto Vela,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127599#pesquisa
2024-10-14 08:27:44,PROJETO DE DECRETO LEGISLATIVO N.º 013/2024,"""Concede o Título  de Cidadão Pindamonhangabense"".",José Carlos Gomes – Cal,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127598#pesquisa
2024-09-02 08:02:10,PROJETO DE DECRETO LEGISLATIVO N.º 012/2024,CONCEDE O DIPLOMA DR JOSÉ ALBERTO MONTECLARO CÉSAR.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126518#pesquisa
2024-09-02 08:01:25,PROJETO DE DECRETO LEGISLATIVO N.º 011/2024,CONCEDE O DIPLOMA DR JOSÉ ALBERTO MONTECLARO CÉSAR.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126519#pesquisa
2024-08-26 16:40:09,PROJETO DE DECRETO LEGISLATIVO N.º 010/2024,Concede o Título de Cidadã Pindamonhangabense.,Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126298#pesquisa
2024-08-26 16:09:36,PROJETO DE DECRETO LEGISLATIVO N.º 009/2024,"""Concede o Título  de Cidadão Pindamonhangabense"".",Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/118656#pesquisa
2024-08-09 13:57:27,PROJETO DE DECRETO LEGISLATIVO N.º 008/2024,Concede a MEDALHA DE MÉRITO ATHAYDE MARCONDES.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125848#pesquisa
2024-07-01 16:47:28,PROJETO DE DECRETO LEGISLATIVO N.º 007/2024,PROJETO DE DECRETO LEGISLATIVO Concede Título de Cidadão Pindamonhangabense,Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124057#pesquisa
2024-04-19 09:46:04,PROJETO DE DECRETO LEGISLATIVO N.º 006/2024,Dispõe sobre as contas da Prefeitura Municipal de Pindamonhangaba relativas ao Exercício de 2020.,COMISSÃO DE FINANÇAS E ORÇAMENTO (CFO),https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121006#pesquisa
2024-03-14 13:18:48,PROJETO DE DECRETO LEGISLATIVO N.º 005/2024,"Concede Título de ""Cidadã Pindamonhangabense"".",Regininha,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119323#pesquisa
2024-02-29 17:33:28,PROJETO DE DECRETO LEGISLATIVO N.º 004/2024,CONCEDE O TÍTULO DE CIDADÃ PINDAMONHANGABENSE,Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119133#pesquisa
2024-02-05 16:08:53,PROJETO DE DECRETO LEGISLATIVO N.º 003/2024,Concede a MEDALHA PERCY NEWTON DE LACERDA CÉSAR.,Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/117599#pesquisa
2024-01-29 09:52:25,PROJETO DE DECRETO LEGISLATIVO N.º 002/2024,Dispõe sobre as contas da Prefeitura Municipal de Pindamonhangaba relativas ao Exercício de 2021.,COMISSÃO DE FINANÇAS E ORÇAMENTO (CFO),https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/116552#pesquisa
2024-01-24 08:44:50,PROJETO DE DECRETO LEGISLATIVO N.º 001/2024,Concede a MEDALHA PERCY NEWTON DE LACERDA CÉSAR.,Vereadores,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/1245#pesquisa
2023-12-15 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 020/2023,Concede Título de Mérito Legislativo,Herivelto Vela,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99236#pesquisa
2023-12-15 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 021/2023,Concede o Título de Cidadã Pindamonhangabense.,Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99237#pesquisa
2023-11-29 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 019/2023,Dispõe sobre Sessão Solene comemorativa ao Dia do Musico evangélico no Município de Pindamonhangaba,Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99235#pesquisa
2023-10-31 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 018/2023,Concede o Título de cidadão Pindamonhangabense.,Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99234#pesquisa
2023-10-26 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 017/2023,CONCEDE O TÍTULO DE CIDADÃO PINDAMONHANGABENSE.,Julinho Car,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99233#pesquisa
2023-09-04 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 016/2023,Concede a MEDALHA DE MÉRITO ATHAYDE MARCONDES.,José Carlos Gomes – Cal,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99232#pesquisa
2023-09-01 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 015/2023,Concede o Diploma RÔMULO CAMPO D'ARACE.,José Carlos Gomes – Cal,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99231#pesquisa
2023-08-29 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 014/2023,"Dispõe sobre a comemoração anual do ""Dia do Vereador""",Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99230#pesquisa
2023-07-11 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 011/2023,CONCEDE O DIPLOMA DR JOSÉ ALBERTO MONTECLARO CÉSAR.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99227#pesquisa
2023-07-11 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 012/2023,CONCEDE O DIPLOMA DR JOSÉ ALBERTO MONTECLARO CÉSAR.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99228#pesquisa
2023-07-11 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 013/2023,CONCEDE O TÍTULO DE CIDADÃO PINDAMONHANGABENSE,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99229#pesquisa
2023-06-05 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 010/2023,Concede o Título de Mérito Legislativo.,Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99226#pesquisa
2023-05-30 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 009/2023,Concede Título de Mérito Legislativo,Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99225#pesquisa
2023-05-23 00:00:00,PROJETO DE DECRETO LEGISLATIVO N.º 008/2023,"Dispõe sobre a comemoração anual do ""Dia dos profissionais da Saúde"".",José Carlos Gomes – Cal; Renato Cebola; Herivelto Vela; Professor Felipe Guimarães; Norberto Moraes; Gilson Nagrin; Julinho Car; Marco Mayor; Regininha; Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/99224#pesquisa
