data,titulo,ementa,autoria,link
2025-06-18 17:00:18,PROJETO DE LEI COMPLEMENTAR N.º 009/2025,Dispõe sobre a regularização de edificações clandestinas e/ou irregulares no Município e dá outras providências.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136559#pesquisa
2025-06-11 16:27:31,PROJETO DE LEI COMPLEMENTAR N.º 008/2025,Autoriza o Poder Executivo a criar e instituir o Programa Pró-Saúde Escolar nas escolas da rede pública municipal de ensino.,Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136307#pesquisa
2025-06-09 16:56:08,PROJETO DE LEI COMPLEMENTAR N.º 007/2025,"Altera a Lei Complementar n° 80/2024, que 'Dispõe sobre o Código de Edificações no Município de Pindamonhangaba e dá outras providencias’.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136271#pesquisa
2025-05-05 15:32:30,PROJETO DE LEI COMPLEMENTAR N.º 006/2025,"Altera a Lei Complementar n° 80/2024, que 'Dispõe sobre o Código de Edificações no Município de Pindamonhangaba e dá outras providencias’.

 ",Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134891#pesquisa
2025-04-28 14:43:47,PROJETO DE LEI COMPLEMENTAR N.º 005/2025,"Altera a Lei Complementar n° 80/2024, que 'Dispõe sobre o Código de Edificações no Município de Pindamonhangaba e dá outras providencias’.",Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134611#pesquisa
2025-04-07 11:39:51,PROJETO DE LEI COMPLEMENTAR N.º 004/2025,"Institui a premiação “Professor Inovador” no âmbito do Ensino Fundamental da rede pública municipal da cidade de Pindamonhangaba e dá outras providências.

 ",Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133936#pesquisa
2025-02-27 08:13:05,PROJETO DE LEI COMPLEMENTAR N.º 003/2025,"""Altera a Lei Complementar n° 77/2023, que Dispõe sobre o Código de Posturas do Município de Pindamonhangaba e dá outras providências"".",Rogério Ramos; Renato Cebola; Carlos Moura - Magrão; Gilson Nagrin,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/132172#pesquisa
2025-02-05 16:02:01,PROJETO DE LEI COMPLEMENTAR N.º 002/2025,"Altera a Lei Complementar n° 77/2023, que 'Dispõe sobre o Código de Posturas do Município de  Pindamonhangaba e dá outras providências"".",Rogério Ramos; Renato Cebola; Gilson Nagrin; Carlos Moura - Magrão,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130990#pesquisa
2025-01-09 14:33:12,PROJETO DE LEI COMPLEMENTAR N.º 001/2025,"Altera a Lei Complementar n° 77/2023, que 'Dispõe sobre o Código de Posturas do Município de  Pindamonhangaba e dá outras providências.",Rogério Ramos; Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130153#pesquisa
2024-12-12 10:55:03,PROJETO DE LEI COMPLEMENTAR N.º 007/2024,"Altera a Lei Complementar n° 77/2023, que 'Dispõe sobre o Código de Posturas do Município de  Pindamonhangaba e dá outras providências.",Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129787#pesquisa
2024-10-14 08:26:42,PROJETO DE LEI COMPLEMENTAR N.º 006/2024,"Altera a Lei Complementar n° 71/2023, que 'Dispõe sobre a regularização das edificações no Município de  Pindamonhangaba, e dá outras providências'.",Renato Cebola; Carlos Moura - Magrão; Gilson Nagrin; Herivelto Vela; Rogério Ramos; Regininha; Marco Mayor; Julinho Car,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/123434#pesquisa
2024-09-20 11:27:39,PROJETO DE LEI COMPLEMENTAR N.º 005/2024,"Altera a Lei Complementar nº 66, de 06 de janeiro de 2022, que dispõe sobre a revisão do Plano Diretor Participativo de Pindamonhangaba e dá outras providências.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/127015#pesquisa
2024-08-28 17:33:48,PROJETO DE LEI COMPLEMENTAR N.º 004/2024,Dispõe sobre a criação do serviço público de Loteria no Município de Pindamonhangaba e dá outras providências.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126345#pesquisa
2024-08-14 16:11:54,PROJETO DE LEI COMPLEMENTAR N.º 003/2024,Institui o Código de Edificações no Município de Pindamonhangaba e dá outras providências.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/125820#pesquisa
2024-05-29 16:30:36,PROJETO DE LEI COMPLEMENTAR N.º 002/2024,"Altera a Lei Complementar n° 71/2023, que 'Dispõe sobre a regularização das edificações no Município de Pindamonhangaba, e dá outras providências'.",Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/122719#pesquisa
2024-04-26 16:28:24,PROJETO DE LEI COMPLEMENTAR N.º 001/2024,"Autoriza o Poder Executivo Municipal a fazer Concessão de Uso de Bem Imóvel Público, de propriedade do Município de Pindamonhangaba e dá outras providências.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/121394#pesquisa
2023-07-25 00:00:00,PROJETO DE LEI COMPLEMENTAR N.º 005/2023,Institui as Regras para o uso do solo no Município de Pindamonhangaba e dá outras providências,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/108367#pesquisa
2023-07-25 00:00:00,PROJETO DE LEI COMPLEMENTAR N.º 006/2023,"Autoriza o Poder Executivo Municipal a fazer Concessão de Direito Real de Uso de Bem Imóvel Público, de propriedade do Município de Pindamonhangaba e dá outras providências.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/108368#pesquisa
2023-07-25 00:00:00,PROJETO DE LEI COMPLEMENTAR N.º 007/2023,"Autoriza o Poder Executivo Municipal a fazer Concessão de Direito Real de Uso de Bem Imóvel Público, de propriedade do Município de Pindamonhangaba e dá outras providências.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/108369#pesquisa
2023-07-25 00:00:00,PROJETO DE LEI COMPLEMENTAR N.º 008/2023,"Autoriza o Poder Executivo Municipal a fazer Concessão de Direito Real de Uso de Bem Imóvel Público, de propriedade do Município de Pindamonhangaba e dá outras providências.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/108370#pesquisa
