data,titulo,ementa,autoria,link
2025-07-16 16:42:36,PROJETO DE LEI ORDINÁRIA N.º 255/2025,"Revoga a Lei n.º 6.961 de 07 de julho de 2025, que institui a Taxa de Serviço Público de Manejo de Resíduos Sólidos Urbanos (SMRSU) no Município de Pindamonhangaba e dá outras providências.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137523#pesquisa
2025-07-14 16:28:30,PROJETO DE LEI ORDINÁRIA N.º 254/2025,Dispõe sobre a obrigatoriedade de divulgação da agenda de compromissos oficiais das autoridades do Poder Executivo Municipal e dá outras providências.,Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137487#pesquisa
2025-07-14 16:27:01,PROJETO DE LEI ORDINÁRIA N.º 253/2025,INSTITUI NO MUNICÍPIO DE PINDAMONHANGABA O PROGRAMA ‘TAMPINHA DO BEM’ E DÁ OUTRAS PROVIDÊNCIAS.,Felipe César Filho - FC,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137482#pesquisa
2025-07-14 16:26:40,PROJETO DE LEI ORDINÁRIA N.º 252/2025,INSTITUI NO MUNICÍPIO DE PINDAMONHANGABA O PROGRAMA ‘LACRE SOLIDÁRIO’ E DÁ OUTRAS PROVIDÊNCIAS.,Felipe César Filho - FC,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137479#pesquisa
2025-07-14 16:26:19,PROJETO DE LEI ORDINÁRIA N.º 251/2025,Dispõe sobre a área de preservação Permanente de cursos hídricos em áreas Urbanas consolidadas no Município de Pindamonhangaba e dá outras providências.,Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137453#pesquisa
2025-07-14 16:25:58,PROJETO DE LEI ORDINÁRIA N.º 250/2025,DISPÕE SOBRE O SEPULTAMENTO DIGNO DE NATIMORTOS NO ÂMBITO DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.,Felipe César Filho - FC,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137419#pesquisa
2025-07-14 08:07:58,PROJETO DE LEI ORDINÁRIA N.º 249/2025,Autoriza a desafetação e a doação de imóvel de propriedade do Município de Pindamonhangaba à Fazenda do Estado de São Paulo.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136790#pesquisa
2025-07-14 08:07:24,PROJETO DE LEI ORDINÁRIA N.º 248/2025,"Altera dispositivos da Lei Ordinária nº 6.194, de 20 de dezembro de 2018, que dispõe sobre a Estrutura Organizacional da Prefeitura Municipal de Pindamonhangaba e dá outras providências.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137343#pesquisa
2025-07-07 13:07:17,PROJETO DE LEI ORDINÁRIA N.º 247/2025,Institui o Monitoramento Permanente da Infraestrutura Escolar e a Valorização do Corpo Docente no Município de Pindamonhangaba e dá outras providências.,Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137206#pesquisa
2025-07-07 13:06:27,PROJETO DE LEI ORDINÁRIA N.º 246/2025,Institui o Programa Municipal de Reconstrução Dentária para Mulheres Vítimas de Violência Doméstica no Município de Pindamonhangaba.,Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137204#pesquisa
