data,titulo,ementa,autoria,link
2025-06-30 10:30:06,PROJETO DE RESOLUÇÃO N.º 022/2025,"Fica alterada a redação do inciso I  do Artigo 320 do Regimento Interno.
 ",Renato Cebola; Marco Mayor; Rogério Ramos; Felipe César Filho - FC; Professor Everton; Gari Abençoado; Professor Felipe Guimarães; Carlos Moura - Magrão; Gilson Nagrin; Norberto Moraes; Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136754#pesquisa
2025-06-16 16:48:37,PROJETO DE RESOLUÇÃO N.º 021/2025,"Institui, no âmbito da Câmara Municipal de Pindamonhangaba, o Selo ‘Amigo da Pessoa Idosa’ e dá outras providências",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136542#pesquisa
2025-06-16 16:47:41,PROJETO DE RESOLUÇÃO N.º 020/2025,"Institui, no âmbito da Câmara Municipal de Pindamonhangaba, a homenagem anual às entidades sociais de destaque no município e dá outras providências",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136535#pesquisa
2025-06-09 16:56:51,PROJETO DE RESOLUÇÃO N.º 019/2025,"Dispõe sobre a criação do ""Parlamento Jovem de Pindamonhangaba"" no âmbito da Câmara Municipal de Pindamonhangaba e dá outras providências.

 ",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136239#pesquisa
2025-06-09 16:56:31,PROJETO DE RESOLUÇÃO N.º 018/2025,"Institui, no âmbito da Câmara Municipal de Pindamonhangaba, o Selo “Amigo da Pessoa Idosa” e dá outras providências",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136260#pesquisa
2025-05-26 09:20:54,PROJETO DE RESOLUÇÃO N.º 017/2025,"DISPÕE SOBRE A CRIAÇÃO DO PROJETO “CÂMARA MIRIM” NO ÂMBITO DA CÂMARA DE VEREADORES DE PINDAMONHANGABA, E DÁ OUTRAS PROVIDÊNCIAS.",Marco Mayor,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135694#pesquisa
2025-05-19 14:31:06,PROJETO DE RESOLUÇÃO N.º 016/2025,Acrescenta a Comenda Emílio Ribas ao Título XIII – Das Homenagens do Regimento Interno da Câmara Municipal de Pindamonhangaba.,Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135441#pesquisa
2025-04-17 16:22:11,PROJETO DE RESOLUÇÃO N.º 015/2025,"ALTERA A RESOLUÇÃO Nº 12/2021, QUE ‘CONCEDE CESTA BÁSICA AOS SERVIDORES E ESTAGIÁRIOS DA CÂMARA DE PINDAMONHANGABA’.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134419#pesquisa
2025-04-14 15:41:30,PROJETO DE RESOLUÇÃO N.º 014/2025,"Fica alterada a redação do inciso I  do Artigo 321 do Regimento Interno.
 ",Renato Cebola; Marco Mayor; Rogério Ramos; Carlos Moura - Magrão; Gari Abençoado; Professor Felipe Guimarães; Professor Everton; Felipe César Filho - FC; Gilson Nagrin; Norberto Moraes; Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/134186#pesquisa
2025-03-21 15:44:30,PROJETO DE RESOLUÇÃO N.º 013/2025,CRIA O PROGRAMA “SELO AGRÍCOLA” NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.,Felipe César Filho - FC,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/133276#pesquisa
2025-02-17 16:03:50,PROJETO DE RESOLUÇÃO N.º 012/2025,Dispõe sobre a constituição da Comissão de Assuntos Relevantes em Apoio à Reativação da Estrada de Ferro Campos do Jordão.,Professor Everton,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131243#pesquisa
2025-02-10 16:12:21,PROJETO DE RESOLUÇÃO N.º 011/2025,"Dispõe sobre a criação, no âmbito da Câmara de Vereadores de Pindamonhangaba, do ""Programa Câmara Jovem"" e dá outras providências",Renato Cebola; Rogério Ramos; Carlos Moura - Magrão; Professor Felipe Guimarães,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131187#pesquisa
2025-02-10 15:43:30,PROJETO DE RESOLUÇÃO N.º 010/2025,Institui o Banco de Ideias Legislativas na Câmara do Município de Pindamonhangaba.,Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131186#pesquisa
2025-02-10 10:35:08,PROJETO DE RESOLUÇÃO N.º 009/2025,"Dispõe sobre a criação do ""Parlamento Jovem de Pindamonhangaba"" no âmbito da Câmara Municipal de Pindamonhangaba e dá outras providências.",Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131212#pesquisa
2025-02-07 13:53:52,PROJETO DE RESOLUÇÃO N.º 008/2025,REGULAMENTA O PROGRAMA DE TREINAMENTO AOS SERVIDORES DA CÂMARA DE VEREADORES DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131128#pesquisa
2025-02-03 16:45:43,PROJETO DE RESOLUÇÃO N.º 007/2025,Dispõe sobre a Criação da Procuradoria da Mulher no âmbito da Câmara de Vereadores do Município de Pindamonhangaba e dá outras providências.,Ana Paula Goffi,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130946#pesquisa
2025-02-03 10:37:34,PROJETO DE RESOLUÇÃO N.º 006/2025,Institui o Programa Câmara Itinerante no Município de Pindamonhangaba e dá outras providências,Renato Cebola; Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130784#pesquisa
2025-01-27 08:57:10,PROJETO DE RESOLUÇÃO N.º 005/2025,Dispõe sobre o serviço de Tesouraria no âmbito da Câmara de Vereadores de Pindamonhangaba e dá outras providências.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130666#pesquisa
2025-01-27 08:36:43,PROJETO DE RESOLUÇÃO N.º 004/2025,"Altera a Resolução n° 04, de 31 de maio de 2023, que 'Dispõe sobre a estrutura administrativa e de assessoramento parlamentar da Câmara de Municipal de Pindamonhangaba, sobre a criação e extinção de cargos em comissão, e dá outras providências'.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130665#pesquisa
2025-01-27 08:16:42,PROJETO DE RESOLUÇÃO N.º 003/2025,"Altera a Resolução n° 04, de 31 de maio de 2023, que 'Dispõe sobre a estrutura administrativa e de assessoramento parlamentar da Câmara de Municipal de Pindamonhangaba, sobre a criação e extinção de cargos em comissão, e dá outras providências'.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130664#pesquisa
2025-01-27 08:06:14,PROJETO DE RESOLUÇÃO N.º 002/2025,Fixa o subsídio dos Vereadores para a Legislatura 2029/2032.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130662#pesquisa
2025-01-27 08:02:17,PROJETO DE RESOLUÇÃO N.º 001/2025,Altera a redação do § 2° do art. 2° do Regimento Interno da Câmara de Vereadores de Pindamonhangaba.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130661#pesquisa
2024-12-05 15:47:30,PROJETO DE RESOLUÇÃO N.º 006/2024,"Regulamenta a concessão de horário especial de trabalho ao servidor com deficiência ou com dependente legal na mesma condição, no âmbito do Poder Legislativo de Pindamonhangaba/SP.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129667#pesquisa
2024-09-05 15:22:36,PROJETO DE RESOLUÇÃO N.º 005/2024,Fixa o subsídio dos Vereadores para a Legislatura 2025/2028.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/126587#pesquisa
2024-04-16 13:36:18,PROJETO DE RESOLUÇÃO N.º 004/2024,"Altera o anexo V e cria o anexo VI na Resolução nº 04 de 31 de maio de 2023, que dispõe sobre a estrutura administrativa e de assessoramento parlamentar da Câmara Municipal de Pindamonhangaba, sobre a criação e extinção de cargos em comissão e dá outras providências.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/120915#pesquisa
2024-03-05 09:38:10,PROJETO DE RESOLUÇÃO N.º 003/2024,Dispõe sobre o Código de Ética e Decoro Parlamentar da Câmara de Vereadores de Pindamonhangaba.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119300#pesquisa
2024-03-04 16:18:14,PROJETO DE RESOLUÇÃO N.º 002/2024,"Dispõe sobre o Regimento Interno da Câmara de Vereadores de Pindamonhangaba, e dá outras providências.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119284#pesquisa
2024-01-29 16:06:33,PROJETO DE RESOLUÇÃO N.º 001/2024,Institui o Banco de Ideias Legislativas na Câmara do Município de Pindamonhangaba.,Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/116559#pesquisa
2023-10-09 00:00:00,PROJETO DE RESOLUÇÃO N.º 009/2023,Denomina a Galeria Lilás da Câmara de Vereadores de Pindamonhangaba.,Regininha,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109212#pesquisa
2023-10-09 00:00:00,PROJETO DE RESOLUÇÃO N.º 010/2023,Dispõe sobre a concessão de Plano de Saúde aos servidores públicos efetivos e comissionados do Poder Legislativo e dá outras providências.,José Carlos Gomes – Cal; Herivelto Vela; Norberto Moraes; Marco Mayor; Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109213#pesquisa
2023-10-09 00:00:00,PROJETO DE RESOLUÇÃO N.º 011/2023,Altera o Anexo V da Resolução nº 04/2023 e dá outras providências.,José Carlos Gomes – Cal; Herivelto Vela; Norberto Moraes; Marco Mayor; Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109214#pesquisa
2023-09-12 00:00:00,PROJETO DE RESOLUÇÃO N.º 008/2023,Institui e Denomina a Galeria de Fotos dos Presidentes da Câmara de Vereadores de Pindamonhangaba.,José Carlos Gomes – Cal; Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109211#pesquisa
2023-09-05 00:00:00,PROJETO DE RESOLUÇÃO N.º 007/2023,Denomina a Sala da Ouvidoria da Câmara de Vereadores de Pindamonhangaba.,José Carlos Gomes – Cal; Norberto Moraes,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109210#pesquisa
2023-07-11 00:00:00,PROJETO DE RESOLUÇÃO N.º 006/2023,"Dispõe sobre a regulamentação da utilização dos veículos oficiais da Câmara de Vereadores de Pindamonhangaba, e dá outras providências.",José Carlos Gomes – Cal; Herivelto Vela; Norberto Moraes; Marco Mayor; Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109209#pesquisa
