data,titulo,ementa,autoria,link
2025-02-07 13:39:29,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2025,Altera a redação do “caput” do art. 172 da Lei Orgânica do Município de Pindamonhangaba.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/131077#pesquisa
2025-01-27 07:57:07,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2025,Altera a redação do § 2° do art. 8° da Lei Orgânica do Município de Pindamonhangaba.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/130660#pesquisa
2024-12-03 10:15:31,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 004/2024,ALTERA A REDAÇÃO DE DISPOSITIVOS DO ART. 116 DA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129563#pesquisa
2024-12-02 17:03:48,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 003/2024,"  Altera a redação do art. 116 da Lei Orgânica do Município de Pindamonhangaba.

 ",Marco Mayor; Regininha,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/129528#pesquisa
2024-07-02 11:58:09,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2024,Altera a redação do § 1° do art. 63 da Lei Orgânica do Município de Pindamonhangaba.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/124081#pesquisa
2024-03-04 17:24:26,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2024,"Revisa e atualiza a Lei Orgânica do Município de Pindamonhangaba, Estado de São Paulo, e dá outras providências.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/119289#pesquisa
2023-03-08 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 003/2023,Altera a redação do art. 11 da Lei Orgânica do Município de Pindamonhangaba.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109283#pesquisa
2023-03-07 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2023,"altera e acrescenta dispositivo ao art. 136-A da Lei Orgânica do Município de Pindamonhangaba, para adotar no processo legislativo orçamentário municipal as emendas impositivas previstas na Emenda Constitucional nº 100, de 26 de junho de 2019 e atualização prevista na Emenda Constitucional nº 126, de 21 de dezembro de 2022.",José Carlos Gomes – Cal; Renato Cebola; Herivelto Vela; Norberto Moraes; Gilson Nagrin; Marco Mayor; Regininha; Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109282#pesquisa
2023-02-27 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2023,altera o § 1º do artigo 136-A na Lei Orgânica do Município de Pindamonhangaba.,Rogério Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109281#pesquisa
2021-06-21 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2021,ALTERA A REDAÇÃO DOS §§ 1° E 2° DO ART. 135 DA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109280#pesquisa
2020-03-16 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2020,ALTERA O INCISO I DO § 3° DO ART. 17 DA LEI ORGÂNICA MUNICIPAL.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109279#pesquisa
2019-09-16 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 003/2019,"ACRESCENTA O INCISO XVIII NO ARTIGO 105 NA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA, QUE ASSEGURA A REDUÇÃO DE 50% DA JORNADA PARA SERVIDORES PÚBLICOS MUNICIPAIS, SEM PREJUÍZO EM SUA REMUNERAÇÃO.",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109278#pesquisa
2019-09-02 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2019,REVOGA O § 6° DO ART. 136-A DA LEI ORGÂNICA MUNICIPAL.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109277#pesquisa
2019-08-19 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2019,REVOGA O § 6º DO ART. 136-A DA LEI ORGÂNICA MUNICIPAL.,Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109276#pesquisa
2018-05-14 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2018,"ACRESCENTA O INCISO XVIII NO ARTIGO 105 NA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA, QUE ASSEGURA A REDUÇÃO DE 50% DA JORNADA DOS SERVIDORES PÚBLICOS MUNICIPAIS, SEM PREJUÍZO EM SUA REMUNERAÇÃO.",Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109275#pesquisa
2017-03-20 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2017,"ACRESCENTA O ARTIGO 136-A NA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA, INSTITUINDO O ORÇAMENTO IMPOSITIVO.",Carlos Moura - Magrão; Gislene Cardoso; Rafael Goffi Moreira; Renato Cebola,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109274#pesquisa
2015-12-07 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2015,"DÁ NOVA REDAÇÃO AO INCISO III DO § 2° E AO § 3°, DO ARTIGO 17 DA LEI ORGÂNICA MUNICIPAL.",Mesa Diretora,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109261#pesquisa
2015-03-09 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2015,DÁ NOVA REDAÇÃO AO § 2° DO ARTIGO 8° DA LEI ORGÂNICA MUNICIPAL.,Antônio Alves Da Silva,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109251#pesquisa
2014-07-07 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2014,ACRESCENTA DISPOSITIVO NA LEI ORGÂNICA MUNICIPAL.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109242#pesquisa
2013-08-12 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2013,ACRESCENTA O ART. 95-A À LEI ORGÂNICA MUNICIPAL.,Janio Ardito Lerario; Martim Cesar; Antônio Alves Da Silva; José Carlos Gomes – Cal; Marcos Aurelio Villardi; Ricardo Alberto Pereira Piorino; Felipe César; Carlos Moura - Magrão; Osvaldo Macedo Negrão; Roderley Miotto Rodrigues; Eric Fabiano Sartorato De Oliveira,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109241#pesquisa
2013-06-03 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2013,DÁ NOVA REDAÇÃO AO § 2° DO ARTIGO 8° DA LEI ORGÂNICA MUNICIPAL.,Felipe César,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109240#pesquisa
2012-10-22 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 005/2012,ALTERA DISPOSITIVOS DA LEI ORGÂNICA MUNICIPAL.,Ricardo Alberto Pereira Piorino,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109239#pesquisa
2012-06-20 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 004/2012,ACRESCENTA DISPOSITIVO NA LEI ORGÂNICA MUNICIPAL.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109238#pesquisa
2012-04-23 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 003/2012,DÁ NOVA REDAÇÃO AO ARTIGO 118 DA LEI ORGÂNICA MUNICIPAL E DÁ OUTRAS PROVIDÊNCIAS.,Isael Domingues,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109237#pesquisa
2012-04-02 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2012,DÁ NOVA REDAÇÃO AO ARTIGO 118 DA LEI ORGÂNICA MUNICIPAL E DÁ OUTRAS PROVIDÊNCIAS.,Isael Domingues,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109236#pesquisa
2012-02-24 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2012,DÁ NOVA REDAÇÃO AO ARTIGO 118 DA LEI ORGÂNICA MUNICIPAL E DÁ OUTRAS PROVIDÊNCIAS.,Isael Domingues,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109235#pesquisa
2011-09-12 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2011,DÁ NOVA REDAÇÃO AO § 2° DO ARTIGO 8° DA LEI ORGÂNICA MUNICIPAL.,Geni Dias Ramos,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109234#pesquisa
2011-04-29 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2011,DÁ NOVA REDAÇÃO AO ARTIGO 203 DA LEI ORGÂNICA MUNICIPAL.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109233#pesquisa
2009-08-03 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2009,"ALTERA O ""CAPUT"" DO ART. 103 DA LEI ORGÂNICA DO MUNICÍPIO DE PINDAMONHANGABA.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109232#pesquisa
2009-01-26 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 001/2009,"DÁ NOVA REDAÇÃO AO ""CAPUT"" DO ARTIGO 12 DA LEI ORGÂNICA MUNICIPAL.",Isael Domingues,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109231#pesquisa
2007-11-26 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 003/2007,"REVOGA O INCISO XIV, DO ARTIGO 9º DA LEI ORGÂNICA MUNICIPAL.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109230#pesquisa
2007-06-25 00:00:00,PROPOSTA DE EMENDA À LEI ORGÂNICA N.º 002/2007,DÁ NOVA REDAÇÃO AO ARTIGO 137 E ACRESCENTA O ARTIGO 137-A À LEI ORGÂNICA MUNICIPAL.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/109229#pesquisa
