data,titulo,ementa,autoria,link
2025-07-07 08:23:11,VETO N.º 023/2025 AO PROJETO DE LEI ORDINÁRIA N.º 188/2025,"Comunica VETO TOTAL ao AUTÓGRAFO Nº 074/2025  que  DISPÕE SOBRE A OBRIGATORIEDADE DA FARMÁCIA PÚBLICA MUNICIPAL DISPONIBILIZAR MEDICAMENTOS MEDIANTE APRESENTAÇÃO DE RECEITA MÉDICA PARTICULAR, E DÁ OUTRAS PROVIDÊNCIAS.",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/137170#pesquisa
2025-06-30 08:16:00,VETO N.º 022/2025 AO PROJETO DE LEI ORDINÁRIA N.º 081/2025,Comunica VETO TOTAL ao Autógrafo nº 068/2025 que DISPÕE SOBRE A INSTALAÇÃO E MANUTENÇÃO DE SEMÁFOROS SONOROS NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136896#pesquisa
2025-06-18 17:03:16,VETO N.º 021/2025 AO SUBSTITUTIVO N.º 013/2025 AO PROJETO DE LEI ORDINÁRIA N.º 117/2025,"COMUNICA VETO TOTAL AO AUTÓGRAFO Nº 065/2025 QUE DISPÕE SOBRE A PROIBIÇÃO DO CONSUMO DE MACONHA EM ÁREAS E LOGRADOUROS PÚBLICOS, NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS. ",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136603#pesquisa
2025-06-12 08:13:44,VETO N.º 020/2025 AO SUBSTITUTIVO N.º 007/2025 AO PROJETO DE LEI ORDINÁRIA N.º 078/2025,"Comunica VETO PARCIAL ao Autógrafo nº 61/2025 que dispõe sobre a fixação de cartazes e a obrigatoriedade de treinamentos sobre o método hospitalar denominado manobra de Heimlich e dá outras providências.
 ",Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/136358#pesquisa
2025-05-29 09:51:48,VETO N.º 019/2025 AO SUBSTITUTIVO N.º 011/2025 AO PROJETO DE LEI ORDINÁRIA N.º 110/2025,COMUNICA VETO AO AUTÓGRAFO Nº 47/2025 que AUTORIZA A INSTITUIÇÃO DO PROGRAMA EDUCAÇÃO ABERTA PARA A TERCEIRA IDADE.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135809#pesquisa
2025-05-29 09:51:22,VETO N.º 018/2025 AO PROJETO DE LEI ORDINÁRIA N.º 137/2025,Comunica VETO TOTAL ao AUTÓGRAFO Nº 44/2025 que INSTITUI O PROGRAMA DE APOIO À PESSOA IDOSA COM DEMÊNCIA E AOS SEUS FAMILIARES NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS. ,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135811#pesquisa
2025-05-29 09:50:43,VETO N.º 017/2025 AO PROJETO DE LEI ORDINÁRIA N.º 128/2025,Comunica VETO TOTAL ao Autógrafo nº 46/2025 que DISPÕE SOBRE A CRIAÇÃO DO PROGRAMA BANCO MUNICIPAL DE DISPOSITIVOS AUXILIARES DE MARCHA (DAM).,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135812#pesquisa
2025-05-29 09:49:49,VETO N.º 016/2025 AO PROJETO DE LEI ORDINÁRIA N.º 089/2025,Comunica VETO TOTAL ao Autógrafo nº 45/2025 que DISPÕE SOBRE AS DIRETRIZES PARA A CRIAÇÃO DO BILHETE DO DESEMPREGADO NO ÂMBITO DO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS. ,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135813#pesquisa
2025-05-26 08:38:37,VETO N.º 015/2025 AO PROJETO DE LEI ORDINÁRIA N.º 121/2025,Comunica VETO TOTAL ao Autógrafo nº 39/2025 que DISPÕE SOBRE A FISCALIZAÇÃO DOS SERVIÇOS PRESTADOS PELA CONCESSIONÁRIA DE ENERGIA ELÉTRICA EDP NO MUNICÍPIO DE PINDAMONHANGABA E DÁ OUTRAS PROVIDÊNCIAS. ,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135687#pesquisa
2025-05-26 08:37:52,VETO N.º 014/2025 AO SUBSTITUTIVO N.º 004/2025 AO PROJETO DE LEI ORDINÁRIA N.º 056/2025,Comunica VETO TOTAL ao Autógrafo nº 041/2025 que  INSTITUI O PROGRAMA MUNICIPAL DE PROTEÇÃO E PROMOÇÃO DA SAÚDE MENSTRUAL NO MUNICÍPIO DE PINDAMONHANGABA E DA OUTRAS PROVIDÊNCIAS.,Poder Executivo,https://www.pindamonhangaba.sp.leg.br/proposicoes/0/0/0/0/135691#pesquisa
