nome,partido,funcao,imagem,link
Marco Mayor,PL,Presidente,https://www.pindamonhangaba.sp.leg.br/news/2025/02/202502050958571738760337d04500.jpeg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/8#pesquisa
Ana Paula Goffi,União,1º Vice-Presidente,https://www.pindamonhangaba.sp.leg.br/news/2025/02/20250226175434174060327471a7f0.jpeg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/204#pesquisa
Carlos Moura - Magrão,PSD,2º Vice-Presidente,https://www.pindamonhangaba.sp.leg.br/news/2025/01/202501231204431737644683ccad80.jpeg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/1#pesquisa
Professor Everton,Republicanos,1º Secretário,https://www.pindamonhangaba.sp.leg.br/news/2025/01/2025012816081017380912908746e0.jpeg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/202#pesquisa
Gilson Nagrin,PL,2º Secretário,https://www.pindamonhangaba.sp.leg.br/news/2025/05/20250505162154174647291471e760.jpeg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/4#pesquisa
Felipe César Filho - FC,PL,Vereador,https://www.pindamonhangaba.sp.leg.br/news/2025/03/202503061544291741286669d4ea40.jpg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/205#pesquisa
Gari Abençoado,Republicanos,Vereador,https://www.pindamonhangaba.sp.leg.br/news/2025/02/2025021911444817399762884c7f20.JPG,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/203#pesquisa
Norberto Moraes,PP,Vereador,https://www.pindamonhangaba.sp.leg.br/news/2025/02/202502050959181738760358bc1970.jpg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/3#pesquisa
Professor Felipe Guimarães,Podemos,Vereador,https://www.pindamonhangaba.sp.leg.br/news/2025/01/202501061154171736175257537cf0.jpg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/2#pesquisa
Renato Cebola,União,Vereador,https://www.pindamonhangaba.sp.leg.br/news/2025/03/2025032813523117431807514cac60.jpeg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/10#pesquisa
Rogério Ramos,Podemos,Vereador,https://www.pindamonhangaba.sp.leg.br/news/2025/05/2025052019292217477801625b6610.jpeg,https://www.pindamonhangaba.sp.leg.br/camara/membros/show/11#pesquisa
